"ITEM_ID","ITEM_DESCRIPTION"
21001,"HAND SANITIZER 5LTR CAN 70% ALCHOHAL BASED"
59021,"SECONDARY OIL FILTER, MAKE: DOMNIK"
30004,"ECOSPIRIN 75"
53029,"TALLY GENICOM CARTRIDGE RIBBON(6800, 6600)"
110029,"KADAI SMALL"
31002,"CONNECTING LINK 1"" FOR DUPLEX CHAIN"
14003,"TURMERIC BOTTLE 200 ML"
135028,"Executive Table-Premium Quality:Model NO: SG–91018 Size:L–1800 X D -900 X H- 760 mm with side computer table Mat on Table Top"
117082,"KLUBER, PARALIQ  GA 343"
57023,"SS 304 SEAMLESS BEND-51 MM OD, 2MM THICKNESS"
141045,"Aluminium connector IDMC valve"
6152,"CCR Machinery maintence register"
142036,"TIMING PULLEY DRIVEN - HASSIA 605001801"
228176,"SAMSON DOUBLE DIAPHRAGM 350 CM2"
278176,"ASC-1512 SOLVENT CARTRIDGE 1000ML FOR LINX 8840"
235175,"DIMA SILICONE SEAL OR 6312 BO6312S"
128038,"DAIRY WHITENER 1KG"
235312,"BETAVAC 08B-1 SIMPLEX CHAIN + JOINER 1.3M"
199180,"LKLA-T_Actuator_ServiceKit_133mm 6-9611 92 3056"
8113,"STEEL TAP"
314173,"3 PLY CORRUGATED BOX FOR 10 KG CAPACITY PEDA"
6408,"ENVELOPE, SMALL"
199184,"SANITARY BALL VALVE SBV-ISO-76.1-316L-EPDM NCTT CAV.CL 6-9612 64 7837"
141057,"USSV_Change-Over_WetEnd_Servicekit_63.5mm"
129037,"MANAGER ATTENDENCE REGISTER"
259173,"INSIDE CIRCLIP PLIER  MAKE:STANLEY"
378203,"Obtaining CFO from KSPCB which includes Document Preparation, Online applying, Follow ups and Handling over order Copy (Excluding Statuotory Fees)"
269178,"Solenoid Valve 041.0015"
269181,"Pin 001.005572/M"
380194,"KAHSURG-23 RSI(Vet Thermometer)"
244174,"INDIFOSS CUVETTE 540146"
6609,"PISTON SEALING RING 0007-3452-830"
284184,"Safety relay 5A330480"
255172,"V BELT B 80"
322172,"REFILLING HP CW-CF230A (B)"
214178,"SIEMENS PROFINET LAN 6ES7193-6AR00-0AA0"
8397,"MEASURING CYLINDER 500ML."
354430,"BORAX-200    100ML"
385192,"INDIFOSSFT1 MSC ZERO CONCENTRATE"
383177,"HAVELLS 4SQ MM 4 CORE ALUMINIUM ARMOURED CABLE"
351183,"COMPREHENSIVE BIENNIAL MAINTENANCE CONTRACT FOR CORE 2 DUO SYSTEM"
294173,"PVC BOX 4*4"
304260,"3WAY METAL MCB DISTRIBUTION BOX"
212178,"PIN TYPE COPPER LUGS 35 SQ MM"
371179,"CEFELACTUM 3GM"
8975,"CRUCIBLES"
11149,"GLYCEROL PURIFIED (GLYCERINE) (NOT FOR DIRECT MEDICINAL USE)"
510220,"CIP RETURN PUMP"
418218,"HP MAKE DESKTOP COMPUTER"
297181,"QS 6 Push in connector"
490217,"Purchase Payment  Seal Size:8.3 x 6.8 with handle - Rubber with words"
115050,"SERVICE KIT FOR CPMI-VALVE   41884"
489220,"SPX Flow Sietal Separator Set of inlet-outlet flow unit gasket Model:M02771 Serial No:SL832000520"
101026,"6 X 1/4"" FEMALE THREAD CONNECTOR"
579261,"VETDRUG 136-BLOATARID-100ml"
7059,"BEARING NU2209"
175195,"IP67/69K, DOORSENSORS"
572216,"ONE PLUS 9RT 5G MOBILE PHONE"
580217,"HANNA INSTRUMENTS PH ELECTRODE (PLASTIC BODY) HI12300 EDGE PH"
434229,"Head, MOC:PP 983268"
531228,"HI-MEDIA  STERILECOTTON SWAB"
479229,"Alfa level L-packing  Part No 540829-18"
308195,"CDC Male Straight (G-thread) PC06-G02"
505216,"FORM SHOULDER ASSLY.(FORMAT 280) - 1kg , part no-0612047001"
8532,"BERI CAPS FLEXISPOUT[GHEE TIN LIDS]"
9303,"GLASS SQUEEZER"
413233,"LEADER BALL VALUE (GATE VALUE)1½"" inches"
566223,"ESSAE AMC OF WEIGHING SCALE ML204/A01-220GMS B429826817"
598217,"ROLON JOHNSON PUMP CN 50C-160-MECHANICAL SEAL SET"
575223,"KINETIX 6000 MODULE INTEGRATED 400/460 V 15 KW  15A PART NUMBER:2094-BCO2-M02-S"
609255,"SD FINE SODIUM CARBONATE-500G 40121K05"
579246,"3CARE BOLUS-1boli-VETDRUG 173-"
579260,"MASTILEP GEL-125gm-VETDRUG 464-"
571234,"TASKY SCREW FOR PLASTIC KA50X20 4101980"
539234,"O-ring 60x2.50  ,  Part no:2236031"
541248,"Pressure spring DF5x83x84x2x1.4310  ,  Part no:1203013"
541219,"Slanted-seal valve compl. DN25 Type 8801 Consisting of: - 2236939 Slanted-seal valve Type 2100 - 2236666 Pneumatic operation Type 8690 - 2233467 Adaption set  ,  Part no:2117934"
6470,"DUPLEX CHAIN 1"" PITCH"
6218,"Lab Report Book"
617278,"RUSHAS FUSIBLE PLUG 1/2"" BSPT"
557224,"CHR HANSEN/DANISCO/DSM FREEZE DRIED DVS LACTOBACILLUS HELVETICUS CULTURE (200U)"
659287,"SUGAR GROBULS -30SIZE"
613243,"HI-MEDIA DURHAM TUBES GW163"
670297,"VACUUM HOPPER ACCESSORIES(IMPORTED)"
651273,"RUBBER GUM BOOT WITH STEEL TOE, SIZE: 10 INCHES"
192237,"Gasket 0007-3392-390"
639262,"ALFA LEVEL DOUBLE SEAT ACTUATOR SERVICE KIT, 63.5-76.1MM"
663263,"SPX OIL OUTLET HOSE J.002.07 FOR ATOMISER CF-250"
650261,"NUTEK  POWER PACK FOR 11KV SCHNEIDER MAKE VCB"
285174,"ENDRESS HAUSER  CONDUTIVITY TRANSMITTER WITH CABLE SMARTEC CLD18"
633252,"CYL.SCREW ISO1207 M 4 X10-A2-70 ART NO: 30464912"
6105,"CI IDLER WHEELS 140 DIA"
6938,"INK JET PRINTER"
665275,"FBF GUIDE BAND/SLIDE RING 054.0044"
541241,"Silicone round cord seal D20  ,  Part no:2300354"
741287,"Calibration For On Line Gas Mixer"
754311,"EVAPORATOR UNIT 4KW FOR POSITIVE TEMPERATURE"
695268,"ADAM-4561, 1-PORT ISOLATED USB TO RS-232/422/485 CONVERTER"
655271,"BIOXY LA-100ML INJ VETDRUG 256"
6498,"HOSE CLAMP"
677262,"LENOVO TAB M8 - 8505X"
767313,"SUPPLY & INSTALLATION OF ALUMINUM PARTITION 11 X 8.5"
718304,"ARMOURED CAT 6 CABLE"
769308,"Nylon trimmer line 5kg"
758300,"LABOUR CHARGES FOR EXISTING COIL REMOVAL AND NEW COIL FIXING WORK"
800293,"GL ENERGY BAR WITH ZESTY FRUITS 12 GM"
778320,"BOLTS & NUTS"
795293,"Tank/Bowl gasket development Tool"
815301,"COMPLETE MECHANICAL DOUBLE SEAL FOR FRISTAM PUMP, SIZE:22mm, FACE COMBINATION:SiC/SiC/FKM & SiC/SiC/FKM"
784291,"NITOBOND AR"
752299,"HEATSINK FAN DC 172X51"
822336,"SRI BALAMURI VINAYAKA PANI PEETAM"
815307,"KUBERA DEEPAM"
47014,"THREADED PIN 0019-6307-150 FOR CREAM SEPARATOR"
834335,"Plastic Plate For Pot 12"""
832355,"BOTTOM STOPPER"
818321,"170 WATT LED STREET LIGHT FITTING"
646380,"Toothed Belt SYN 16 T 5.0/750-DL	1204869"
835340,"ELLAKKI HARA"
856341,"FINE SCREEN"
812298,"1"" DUNLOP AIR WATER HOSE"
846337,"CLASSIC TUBE 1000R20"
862349,"LED WALL FOR DISPLAY(02 NOS)"
802300,"HDMI CABLE 10 METER"
865338,"BIO GAS HOLDER TANK INSIDE AND OUTSIDE CLEANING,CRACK FILLING AND WATER PROOF PAINTING"
861335,"SERVO MOTER, MAKE:SCHNEIDER ELECTRIC, PART NO:SH30702P02F2000,KW-1.19,RPM-8000"
351196,"UNION GASKET SMS 63.5MM"
338175,"""1"""" DUPLEX CHAIN SPROCKET 14 TEETH"
571238,"INDIFOSS PVT LTD MILKO SCAN FT-1 BIANNUAL MAINTENANCE CONTRACT- BENGALORE DAIRY  SERIAL NO-91861721"
866342,"APTHOCARE, 60GM"
874344,"MICRO LITHIUM CELL"
876339,"OUTDOOR RECEIVING ANTENA"
878337,"BESIN LADDU 200 GM"
860360,"AIR PRESSURE SWITCH GAS PART NO.84447350 A.1402-29833,CE-0085AP0467""S""P-MAX.600MBAR GAS, U-250VAC IP54"
831338,"GENTIAN VOILET 15ML"
395233,"IFM CONNECTOR"
873345,"MAKEUP SOLENOID VALVE FOR JETINK CODING MACHINE"
882347,"HIGHLIGHT (WHITE BOARD)"
884381,"SILVER DISC"
851343,"SPX SEAL KIT SW41+42/SWE43+44-50+2"" EPDM"
888426,"SERVICE CHARGES FOR SERVER SYSTEM OS REINSTALLATION AND SETUP"
890393,"SEDIMENT TRAP"
880342,"O-RING,32,20X3.00, PART NO-JK001221"
862358,"100WATTS GLS BC LAMP"
645271,"2INCH GI COLLAR"
883384,"CONDUCTIVITY METER"
891507,"BANGALURU TO KARNATAKA (WITHIN STATE) (NON-DOCUMENT)"
888416,"CALIBRATION OF DIGITAL MICROMETER"
886380,"LUBE OIL CLR COVER GASKET"
865341,"100 MM MAIN STEAM STOP GLOBE VALVE ,CLASS-150, WCB IBR CERTIFIED, PN40"
660267,"SECONDARY FLOW WRAP 100G SLICE "
898377,"AIR OPERATED DOSING PUMP,MAKE:WILDEN, P-025/PZPPP/TNL/TF/PTV(1/4"" PUMP)"
896386,"GEAR OIL 320(ENKLO 320)"
911395,"HP GT53XL 135-ml Black Original Ink Bottle | B07SY4C3TD"
912380,"ss 316 Blade, Size:25mm x 1 feet"
884397,"SUPPLY OF CONTRACT CONSULTANT(DIPLOMA/ENGINEERING) MAN POWER"
918446,"BALWAAN BE-63 Earth Auger (without Bit)"
924464,"SS PIPES,FITTINGS,VALVES & INSULATION-SUPPORTS AND SUPPORT STRUCTURE"
902418,"SHAFT SLEEVE FOR CCR 25-125"
914438,"PLAIN WASHER, PART NO-75211011002"
891384,"HAND JARA"
932452,"Accessories (Reflector) REF-H85-2"
813301,"MONOBLOCK PUMP SHAFT"
910387,"DANFOSS – NRVA50 : NRVA 40 COMPRESSION SPRING , PART CODE : 020-2327"
929446,"THRUST BALL BEARINGS 51203"
917449,"STERIPAD STERILE DRESSING PAD 10CM*10CM"
691269,"SWITCH BOX AKS38(148H3202) DANFOSS MAKE"
10539,"ALLEN KEYS 6MM"
965483,"BOUNCE CORBONATED DRINKS ORANGE 200 ML"
967454,"SUPPLY OF 1200A IGBT"
11220,"SULPHADEMIDINE 100ML"
966475,"DISPOVAN 18G NEEDLE"
936450,"ATLAS COPCO-ZT-55 MACHINE, HOSE 850 -1622583400"
981453,"UPGRADATION OF PRINTER P500 TO 8000 SERIES ONLINE PRINTER WITH REQUIRED MATERIAL"
984466,"ORING (8X2.65) PART NO.8132"
985458,"SWAB OF COLD STORE WALL & DRAIN"
966466,"Surge Tank,MAKE:SPX,MODEL:SE41V,SERIAL NO:M02768"
989460,"ABB ENCLOSURE & DIN RAIL,2TLA020051R5700,ADAM OSSD-INFOM12-8 CONNECTOR, MAKE:ABB"
989508,"CABLE TERMINATION KIT INDOOR HS TYPE SUITABLE FOR 3*400 sqmm"
989509,"RCC HUME PIPE 2000mm LONG 150mm DIA"
990479,"CAST NYLON GUIDE ROLLER FOR EGLI CBMM CHURNING DRUM"
992481,"PLUMB"
992482,"4 CUTOFF WHEEL"
349248,"0004-3167-830 SHAFT SEALING RING"
964456,"1166-3393-000,SET OF COUPLING COMPONENTS"
902411,"FORTIGATE 24/7 REMOTE SUPPORT CHARGES FOR 01 YEAR"
991528,"DUODOS pump spare : Muffler, make: Polyethylene, Part No: 530-022-550"
1006480,"SD FINE POTASSIUM IODIDE-100G 20212K01"
1007475,"SILICON OIL SEAL-48X62X10"
1007484,"CONSULTANCY WORK FOR LAN REVAMPING AND SET UP OF NETWORK OPERATION CENTER"
993475,"SD FINE POTASSIUM CHLORIDE"
1008501,"PRESSURE TRANSMITTERS & DPTs"
6294,"COOKIES SWEET AND SALT 20 GM"
1011482,"HDD 500GB 980 NVME M.2 MZ V8V500BW S78FNL0XC10570"
1010495,"OUT FEED CONVEYOR BELT FOR BUTTER PACKING MACHINE"
1018491,"Caution Label"
1019537,"REMOVABLE AIR GAP INSULATION FOR DRYING CHAMBER-IMPORTED COMPONENTS"
1019521,"LT POWER CABLES"
995489,"FLUMAN INJ 100ML"
1020492,"SS 316 L PNEUMATIC SEAT VALVE L TYPE 18 MM"
1020509,"AIR CONDITIONING UNIT FOR NEW CONTROL ROOM FOR UTILITIES"
1009496,"FLAME MONITOR SE@VIS FLUS08 230V 50/60HZ"
1029491,"AG 2'' BALL VALVE PLASTIC (IP)"
1039490,"FLOORING OF PUF PANEL-100MM"
1032506,"Slicing Blade Part No-18054"
1039521,"DETERGENT & DISINFECTANTS CHEMICAL FOR BMC & MILK CANS "
995478,"CIPROSAFE TZ 1'S"
1048517,"ENTROVET 1KG"
1034508,"PBG PUSH BOTTON GREEN WITH 1NO & 1NC"
1049522,"PROVIDING WATERPROOFING WORK"
394224,"20X22 OPEN SPANNER"
1058535,"APPLE IPAD AIR - 27.59 CM/11 INCHES MODEL/128 GB/BLUE COLOR"
1062537,"DIN Rail Industrial Media converter Managed dual port switch "
1065532,"FD 850- AIR DRYER  AIQ750996"
1064529,"TRACTOR(44-45 HP)"
1085558,"PVC RO FLOW RESTRICTOR 450 (FR) QC"
1084540,"gasket distributor ring ,ITEM CODE:518020483"
175172,"12H005, PROXIMITY SENSOR SWITCH"
1052550,"Roller, Part No: 30530441"
1060533,"Egli 2T CBMM Drum Deep groove ball bearing      Part no. 5305.015.1005"
1102534,"Chemical Descaling of Atlas Copco Compressor PHE oil Cooler"
1106526,"REPAIR OF FACE RECOGNISATION BIOMETRIC MACHINE"
1117533,"Upvc 45 Bend -40mm"
1118529,"WOODEN CRATE PACKAGING"
354269,"PAYMENT REGISTER."
1131547,"BOREWELL DRILLING DEPTH 300 TO 400"
1145534,"RO MEMBRANE 4040 DPA"
10151,"SS FILTER"
54105,"BUDECORT RESPULES"
99026,"ELECTRIC FLY CATCHER "
31014,"SUGAR S-30 GRADE"
59059,"MILK SHAKE MANGO 200 ML"
6683,"PHE-S37 CORNER GASKET BXPGMRON0001"
143028,"12V 18AH SMF BATTERY"
9262,"MILK ADULTERATION TEST KIT"
145066,"Freshnol disinfectant/Phenyl rose perfumed"
7459,"SEAL 'O' RING -3010937"
8572,"3PLY. COR. BOX FOR PKG MYSORE PAK 15KG."
233172,"DIMA OR GASKET BO3175S"
234179,"DIMA GASKET FOR FLANGE IW2M040C"
235264,"DIMA FILTERING NET 890090011607"
235180,"BETAVAC GUIDE BAR RETAINER M5010-1541-01"
141090,"LKB-F_ServiceKit_WetEnd_76.1mm"
235294,"BETAVAC KP020K WIPER SEAL"
235315,"BETAVAC M-P43316-13 PLUG"
122028,"6A, 240V, 1-WAY MODULAR SWITCH"
8337,"EMULSION PAINT"
161185,"TUBE JK 8.25*20"
292173,"SAFETY ONE FIRE HYDRANT  CARBON DIOXIDE 4.5 KGS"
362173,"KAJU KATLI 200 GM"
10513,"DRILL BIT HSS 15MM"
74042,"DIAPHRAGM TYPE PRESSURE GAUGE, 38MM SMS FEMALE THREAD"
283174,"FBF HOMOGENIZERS BALL VALVE 007.0021"
162172,"ATORVA 40"
354312,"KAHALP-178 BCLIV 30ML"
323176,"3 IN 1 BTS KIT BIOEASY YRM1026 PG1.5-2"
9325,"WASHING SODA/ SODA ASH"
327176,"ATLAS COPCO LIMITED SET WEARING PARTS EWD330,1500C 2901063300"
37003,"DESCALING SOLUTION MILKO SCREEN 30ML"
304277,"O-RING 36,30*3,00 J80110069"
265173,"OIL SOLENOID VALVE WITH COIL SIZE :1/2''  WATT:19 WATTS"
10466,"HAND GLOVES"
330175,"LOSAR H"
8448,"LDPE FILM 200 ML SWEET LASSI 3 COLOUR"
363191,"SLEEVE OIL SEAL CS52809 200VD/G (CS5280-EV) MYCOM COMPRESSOR MODEL N200"
281172,"LKH-25_Centrifugal Pump_Drive ring 9612-1397-01"
7365,"L&T FUSES 16 AMPS TYPE HF 14X51"
298177,"DANFOSS VLT AUTOMATION DRIVE VFD FOR BURNER FD FAN 18.5KW, 25HP"
395224,"6"" SS ELBOW"
7559,"MCB DOUBLE POLE 16 A"
210176,"COPPER TUBE TERMINALS (MEDIUM DUTY) 70 SQ MM"
211177,"COPPER TUBE TERMINALS LONG BARREL 95 SQ MM"
146157,"Smoke Grey ASIAN"
493218,"FINOLEX/ASHIRVAD/SUPREME PVC BUSH 6""X4"""
354184,"FESTO VUVG-B14-M52-AZT-F-1T1L PART NO-573482"
175193,"ACTUATOR, GD2"
387226,"DIGITAL WEIGHING BALANCE"
297208,"QST 8-4 Push in T connector"
413237,"6 TB Surveillance Hard Disk: Seagate"
192183,"Piston Guide Ring 0004-3150-810"
462224,"Realy with Coil 24 VDC"
488216,"Allweiler India 18 LPM Furnace Oil Unloading Pump Model:T3ST-38/54 Serial No:1688369-2022"
480219,"Proximity switch-107472664"
472216,"Empty Cylinder for refilling of Nitrogen Gas [ Capacity Approx. 7 cubic mtr/Per Cylinder]"
481220,"ATLAS COPCO AIR DRYER FX(E16)(AMC)Model 8102226340 Serial No ITJ081499"
570216,"PHILIPS 18W LED SQUARE STAR SURFACE COOL WHITE FLUSH MOUNT CEILING LAMP 59288"
607220,"GL RISE CRISPIES MILK CHOCO 80GM"
434227,"Y STRAINER ASSEMBLY 1"" THREADED PP 908068"
552229,"NEUTRAL COPPER PLATE EARTHING"
597253,"D-LINK MEDIA CONVERTER DFE-855S - 15I"
479216,"Alfa level 50 kl separator Sealing kit bowl upper Part No 6-902237994"
519218,"RCM “O” ringMake :Alfa levelPart No :90512-4179"
308210,"CDC UNION STRAIGHT PUC 12"
526230,"TIMING BELT 400E SINGLE DRAWOFF, Part no-8813293020"
385196,"NANDINI JUTE PRINTED GIFT BAG 12""X10""X5"" CAPACITY : 5KG"
6139,"Daily booster compressor"
633260,"KHOVA BADAM ROLL 250 GM"
569220,"AMC FOR 32 CHANNEL NVR"
579272,"RINTOSE-500ml-VETDRUG 125-"
579232,"AMASTIC CNP-5gm-VETDRUG 77-"
