New_Segment,New_Description
100000,FIXED ASSETS
100100,ASSET COST ACCOUNTS
100101,ASSETS UNDER NDP-1 RBP
100102,BORE WELL
100103,BUILDINGS
100104,BULK MILK COOLERS
100105,CANTEEN EQUIPMENTS
100106,C O M P U T E R S
100107,EFFLUENT TREATMENT PLANT
100108,FURNITURE & FIXTURE
100109,LABORATORY EQUIPMENT
100110,LAND
100111,LAND ON LEASE
100112,LN2 CONTAINER
100113,OFFICE EQUIPMENT
100114,PLANT & MACHINARY
100115,SOLAR WATER HEATING PLANT (CST)
100116,VEHICLES
100150,ASSET CLEARING ACCOUNTS
100151,ASSET CLEARING ACCOUNTS
100200,ACCUMULATED DEPRECIATION
100201,ASSETS UNDER NDP-1 RBP ACCUMULATED DEPRECIATION
100202,BORE WELL ACCUMULATED DEPRECIATION
100203,BUILDINGS ACCUMULATED DEPRECIATION
100204,BULK MILK COOLERS ACCUMULATED DEPRECIATION
100205,CANTEEN EQUIPMENTS ACCUMULATED DEPRECIATION
100206,COMPUTER ACCUMULATED DEPRECIATION
100207,EFFLUENT TREATMENT PLANT ACCUMULATED DEPRECIATION
100208,FURNITURE & FIXTURE ACCUMULATED DEPRECIATION
100209,LABORATORY EQUIPMENT ACCUMULATED DEPRECIATION
100210,LAND ON LEASE ACCUMULATED DEPRECIATION
100211,LN2 CONTAINER ACCUMULATED DEPRECIATION
100212,OFFICE EQUIPMENT ACCUMULATED DEPRECIATION
100213,PLANT & MACHINARY ACCUMULATED DEPRECIATION
100214,SOLAR WATER HEATING PLANT (CST) ACCUMULATED DEPRECIATION
100215,VEHICLE ACCUMULATED DEPRECIATION
100300,CIP COST
100301,CIP - BENGALURU EAST CAMP
100302,CIP - CST PROJECT(MEGHA DAIRY)
100303,CIP-POWDER PLANT AT NMPC KANAKAPURA PLANT & MACHINERY
100304,CIP-POWDER PLANT AT NMPC KANAKAPURA CONSTRUCTION(CIVIL)
100305,CIP-CONSTRUCTION OF BOILER HOUSE AT NMPC (CIVIL)
100306,CIP-LMP EXPANSION FOR POWDER PLANT AT NMPC PLANT & MACHINERY
100307,CAPITAL ADVANCE TO LAND PURCHASE
100500,CIP CLEARING
100501,CIP CLEARING
110000,INVESTMENTS
110100,SHARES
110101,BDCC BANK SHARE
110102,KMF S H A R E
110200,FIXED DEPOSITS
110201,RESERVE FUND FIXED DEPOSIT
110202,FIXED DEPOSIT WITH BANKS
120000,CURRENT ASSETS
121000,MILK & MILK PRODUCTS STOCK 
121001,FINISHED PRODUCTS
121002,SEMI FINISHED PRODUCTS
121003,BOUGHT OUT PRODUCTS 
122000,P& I STOCK
122001,TRADING P&I STOCK
122002,NON TRADING P&I STOCK
123000,STORE STOCK
123001,GENERAL CONSUMABLES
123002,RAW MATERIALS
123003,PACKING MATERIALS
123500,BANK & CASH ACCOUNTS
123501,AXIS BANK LTD
123502,BANK OF BARODA
123503,BBR & RDCC BANK LTD
123504,THE KARUR VISYA BANK LTD
123505,BHARAT CO-OPERATIVE BANK LTD
123506,KARNATAKA GRAMEENA BANK
123507,ICICI BANK LIMITED
123508,YES BANK PVT LTD
123509,HDFC LTD
123510,KOTAK MAHINDRA BANK LTD
123511,CASH ACCOUNT
124000,BANK CLEARING ACCOUNTS
124001,AXIS BANK LTD CLEARING
124002,BANK OF BARODA CLEARING
124003,BBR & RDCC BANK LTD CLEARING
124004,THE KARUR VISYA BANK LTD CLEARING
124005,BHARAT CO-OPERATIVE BANK LTD CLEARING
124006,KARNATAKA GRAMEENA BANK CLEARING
124007,ICICI BANK LIMITED CLEARING
124008,YES BANK PVT LTD CLEARING
124009,HDFC LTD CLEARING
124010,KOTAK MAHINDRA BANK LTD CLEARING
124011,CASH CLEARING ACCOUNT
125000,LOANS & ADVANCES (ASSET)
125100,STAFF ADVANCE
125101,ADVANCE FESTIVAL
125102,ADVANCE MEDICAL
125103,ADVANCE TERMINAL BENEFIT
125104,GSLIS RECOVERABLE
125105,SALARY RECOVERABLE
125200,PREPAID
125201,PREPAID EXPENSES
125300,OTHER DEPOSITS
125301,DEPOSIT WITH VENDOR
125302,RENTAL DEPOSIT 
125400,OTHER ADVANCES
125401,MPCS ADVANCES
125402,PREPAYMENT
125403,GST TAX RECOVERABLE
125404,TDS RECEIVABLE
125405,ADVANCE TAX
125406,IMPREST ADVANCE
126000,TRADE RECEIVABLE
126001,RECEIVABLE FOR MILK & MILK PRODUCTS 
126002,RECEIVABLE FROM MPCS
126003,RECEIVABLE FOR SERVICE RECEIPIENT
126004,OTHER RECEIVABLE
126005,KMF/KMF UNITS & INTER UNION
126006,Onaccount Receipts
TL,TOTAL LIABILITIES
200000,CAPITAL ACCOUNT
210000,MEMBERS FUNDS
211000,SHARE CAPITAL
215000,SHARE SUSPENSE 
230000,RESERVES & SURPLUS
230001,RESERVE FUND
230002,EDUCATION FUND
230003,CO-OP PUBLICITY FUND
230004,BUILDING FUND
230005,RESEARCH & DEVELOPMENT FUND 
230006,ENDOWMENT FUND
230007,MILK PRODUCERS WELFARE FUND
230008,MEMBERS BONUS FUND
230009,SHARE DIVDEND FUND
230010,BUILDING FUND UTILISATION 
230011,NOMINAL MEMBERSHIP
240000,OTHER FUNDS
240001,INFRASTRUCTURE FUND UTILISATION
240002,INFRASTRUCTURE FUND 
240003,TRADE FLUCTUATION FUND
240004,NDP CORPUS FUND
240005,STEP-CORPUS FUND
240006,CAPITAL RESERVE
250000,GOK -GOI CAPITAL GRANTS
250001,CAPITAL GRANT FROM GOI
250002,CAPITAL GRANT FROM GOK
250003,CAPITAL GRANT FROM KMF
250004,CAPITAL GRANT FROM OTHERS
260000,LOANS (LIABILITY)
261000,SECURED LOANS
261001,NDDB LOAN UNDER DIDF
261002,NDDB PROJECT A/C
262000,UNSECURED LOANS
