Deparment Description,Deparment Code
ESTABLISHMENT (ADMIN),AD01
SECURITY OFFICE (ADMIN),AD02
GARDEN (ADMIN),AD03
TIME OFFICE (ADMIN),AD04
CANTEEN (ADMIN),AD05
HEALTH (ADMIN),AD06
FINANCE AND ACCOUNTS (ADMIN),AD07
SYSTEMS & MIS (ADMIN),AD08
CALL CENTER (ADMIN),AD09
BOILER - ENGINEERING,EN01
ETP - ENGINEERING,EN02
CENTRAL CONTROL ROOM - ENGINEERING,EN03
CIVIL - ENGINEERING,EN04
ELECTRICAL - ENGINEERING,EN05
ENGINEERING OFFICE - ENGINEERING,EN06
MECHANICAL & WORKSHOP - ENGINEERING,EN07
PACKING - ENGINEERING,EN08
TRANSPORT - ENGINEERING,EN09
REFRIGERATION - ENGINEERING,EN10
HOUSE KEEPING - ENGINEERING,EN11
SAFETY - ENGINEERING,EN12
PURCHASE OFFICE,PR01
STORE1 MACHINARY,PR02
STORE2 CONSUMABLE,PR03
STORE3 STATIONARY ,PR04
STORE4 ,PR05
STORE5 UN-SERVICABLE,PR06
STORE6 P&I ,PR07
MARKETING OFFICE - MARKETING,MK01
INDENT- MARKETING,MK02
DTC - MARKETING,MK03
KBS - MARKETING,MK04
DISPATCH - MARKETING,MK05
FINISHED GOODS SERVICE - MARKETING,MK06
P&I OFFICE,PI01
ARTIFICIAL INSEMINATION - P&I,PI02
ANIMAL HUSBANDARY - P&I,PI03
PTC - P&I,PI04
FEED AND FODDER - P&I,PI05
PROCUREMENT - P&I,PI06
NDP AND CMP AND KSHEERA SIRI - P&I,PI07
TRAINING - P&I,PI08
KMF SANJEEVINI(STEP) - P&I,PI09
FEED AND FODDER RAJANAKUNTE - P&I,PI10
BMC - P&I,PI11
ANEKAL CAMP,CO01
BANGALORE EAST CAMP,CO02
BANGALORE NORTH CAMP,CO03
BANGALORE SOUTH CAMP,CO04
CHANNAPATNA CAMP,CO05
DEVANAHALLY CAMP,CO06
DODDABALLAPURA CAMP,CO07
HOSKOTE CAMP,CO08
KANAKAPURA CAMP,CO09
HAROHALLI CAMP,CO10
NELAMANGALA CAMP,CO11
RAMANAGARA CAMP,CO12
SOLUR CAMP,CO13
MAGADI CAMP,CO14
PRODUCTION OFFICE - PRODUCTION,PD01
PRODUCTS OFFICE - PRODUCTION,PD02
WAREHOUSE - PRODUCTION,PD04
DEEP FREEZE - PRODUCTION,PD05
ANEKAL CC,CC01
BYRAPATNA CC,CC02
DODDABALLAPURA CC,CC03
VIJAYAPURA CC,CC04
SOLUR CC,CC05
KANAKAPURA CC,CC06
HOSAKOTE CC,CC07
QC,QC01
