product_code,product_description
BMPL0200,BUTTER MILK 200 ML
BMPLBULK,BUTTER MILK BULK
BUSA0010,SALT BUTTER 10GM(BL FAMILY PK)
BUSA0100,SALT BUTTER 100 GMS
BUSA0500,SALTED BUTTER 500GMS
BUSABULK,SALTED BUTTER BULK
BUSB0008,SALT BUTTER 08 GMS BLISTER FAMILY PACK
BUSB0010,SALT BUTTER 10GMS BLISTER PK
BUST0400,SALT BUTTER 400GRM-TIN
BUUS0200,UNSALTED BUTTER 200GMS
BUUS0500,UNSALTED BUTTER 500GMS
BUUS25KG,UNSALTED BUTTER 25 KG
BUUSBULK,UNSALTED BUTTER BULK
CHCB20KG,CHEDDAR CHEESE BLOCK 20 KG
CHCCBULK,CHEDDAR CHEESE BULK
CHMB0200,MOZARELLA CHEESE BLOCK 200 GM
CHMB1000,MOZARELLA CHEESE BLOCK 1000 GM
CHMD0200,MOZZARELLA CHEESE DICED 200 GM
CHMD1000,MOZZARELLA CHEESE DICED 1000 GM
CHMD2000,MOZZARELLA CHEESE DICED 2000 GM
CHML0200,MOZZARELLA CHEESE BLEND 200 GM
CHML1000,MOZZARELLA CHEESE BLEND 1000 GM
CHML2000,MOZZARELLA CHEESE BLEND 2000 GM
CHMS0200,MOZARELLA CHEESE SHRD 200GM
CHMS1000,MOZARELLA CHEESE SHRD 1000GM
CHMS2000,MOZARELLA CHEESE SHRD 2000GM
CHPB0200,PROCESSED CHEESE BLOCK 200 GM
CHPB0500,PROCESSED CHEESE BLOCK 500 GM
CHPB1000,PROCESSED CHEESE BLOCK 1000 GM
CHPC0200,PROCESSED CHEESE CUBES 200 GM
CHPC0500,PROCESSED CHEESE CUBES 500 GM
CHPC1000,PROCESSED CHEESE CUBES 1000 GM
CHPD0200,PROCESSED CHEESE SPREAD 200 GM
CHPK10KG,PROCESSED CHEESE BULK 10 KG
CHPK20KG,PROCESSED CHEESE BULK 20 KG
CHPK5000,PROCESSED CHEESE BULK 5 KG
CHPS0100,PROCESSED CHEESE SLICES 100GM
CHPS0200,PROCESSED CHEESE SLICES 200GM
CHPS0750,PROCESSED CHEESE SLICES 750 GM
CRAM0000,CREAM
CUBU1000,BUCKET CURD 1 KG
CUBU10KG,BUCKET CURD 10 KG
CUBU5000,BUCKET CURD 5 KG
CUKA0140,CURD 140 GM
CUKA0200,CURD 200 GMS
CUKA0500,CURD 500 GMS
CUKA1000,CURD 1000 GRAMS
CUKA6000,CURD 6000 GRAMS
CUKABULK,CURD BULK
CUTN0200,CURD 200 GMS TN
CUTN0250,CURD 250 GMS TN
CUTN0500,CURD 500 GMS TN
CUTN1000,CURD 1000 GMS TN
FMBUBULK,FLAVOUR MILK BULK
FMPL0200,FLAVOUR MILK 200 ML
GH00BULK,GHEE BULK
GHCS0500,GHEE 500 ML MPCS
GHCS1000,GHEE 1000 ML MPCS
GHDJ0200,DESI GHEE 200 ML JAR..
GHDJ0500,DESI GHEE 500 ML JAR..
GHJR0200,GHEE 200 ML JAR BMD
GHJR0500,GHEE 500 ML JAR BMD
GHJR1000,GHEE 1000 ML JAR BMD
GHJR5000,GHEE 5000 ML JAR BMD
GHPK0200,GHEE 200 ML
GHPK0500,GHEE 500 ML
GHPK1000,GHEE 1000 ML
GHRSBULK,GHEE RESIDUE
GHTN15KG,GHEE TIN 15 KGS
KHOV0200,KHOVA200
KHOV1000,KHOVA1000
MIFC0200,FULL CREAM MILK 200 ML TN
MIFC0500,FULL CREAM MILK 500 ML TN
MIFC1000,FULL CREAM MILK 1000 ML TN
MIHC0160,HOMOGENISED MILK 160 ML
MIHC0500,HOMOGENISED-COW MILK-500ML
MIHCBULK,HOMOGENISED-COW MILK-BULK
MILPBULK,LEAKY POUCH MILK
MINK0200,NANDINI SPL MILK 200ML
MINK0500,NANDINI SPL MILK 500ML
MINK1000,NANDINI SPL 1000ML
MINKBULK,NANDINI SPL MILK-BULK
MINT0250,N SPECIAL TONED MILK 250 ML TN
MINT0500,N SPECIAL TONED MILK 500 ML TN
MINT1000,N SPECIAL TONED MILK 1000 ML TN
MIPLBULK,PASTEURIZED MILK FOR LAB
MIPMBULK,PASTEURIZED MILK
MIPPBULK,PASTEURIZED MILK PRODUCT BLOCK
MIRMBULK,RAW MILK
MIRNBULK,RINSED MILK
MISA1000,SHUBHAM-1000 ML MILITARY
MISBBULK,SWEETENED BUTTER MILK
MISD0500,SAMRUDDI MILK 500 ML
MISH0200,SHUBHAM-200 ML
MISH0500,SHUBHAM-500 ML
MISH1000,SHUBHAM-1000 ML
MISHBULK,SHUBHAM MILK-BULK
MISMBULK,SKIMMED MILK
MIST0500,STANDARDISED MILK 500 ML TN
MIST1000,STANDARDISED MILK 1000 ML TN
MIST6000,STANDARDISED MILK 6000 ML TN
MITC0250,PAST.TONED MILK 250ML-CHN
MITC0500,PAST.TONED MILK 500ML-CHN
MITC1000,PAST.TONED MILK 1000ML-CHN
MITK0200,PAST.TONED MILK 200ML
MITK0500,PAST.TONED MILK 500ML
MITK1000,PAST.TONED MILK 1000ML
